"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GGEXP","TOT","THND_USD_CAP","A","2010",15799.62,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2011",16522.72,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2012",15943.1,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2013",17482.13,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2014",17503.98,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2015",17688.02,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2016",18426.83,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2017",18799.42,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2018",19840.21,
"AUS","GGEXP","TOT","THND_USD_CAP","A","2019",22321.07,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2010",22220.84,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2011",22633.45,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2012",23802.61,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2013",24758.19,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2014",25593.4,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2015",25536.12,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2016",26370.11,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2017",26799.56,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2018",28674.71,
"AUT","GGEXP","TOT","THND_USD_CAP","A","2019",29249.8,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2010",21481.5,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2011",22642.88,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2012",23884.87,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2013",24506.62,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2014",24980.76,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2015",24818.97,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2016",25813.85,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2017",26325.77,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2018",28338.57,
"BEL","GGEXP","TOT","THND_USD_CAP","A","2019",29318.37,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2010",17611.57,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2011",17659.81,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2012",17645.37,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2013",18061.3,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2014",17916.24,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2015",18239.95,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2016",19315.91,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2017",20003.97,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2018",21287.88,
"CAN","GGEXP","TOT","THND_USD_CAP","A","2019",21626.69,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2010",12124.6,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2011",12524.31,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2012",13071.44,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2013",13148.42,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2014",13853.97,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2015",14219.57,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2016",14350.63,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2017",15189.34,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2018",17234.36,
"CZE","GGEXP","TOT","THND_USD_CAP","A","2019",18297.94,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2010",24392.83,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2011",25059.1,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2012",25968.76,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2013",26092.08,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2014",26452.31,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2015",26750.25,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2016",27271.59,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2017",28071.8,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2018",29960.39,
"DNK","GGEXP","TOT","THND_USD_CAP","A","2019",30584.21,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2010",21016.06,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2011",21954.88,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2012",22660.14,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2013",23577.66,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2014",23912.98,
"FIN","GGEXP","TOT","THND_USD_CAP","A","2015",24003.44,"B"
